C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
60324,Customer#000060324," 1QZXLeImnTbW,b9MCf0HKnk6vlFCflpHuToaKs",0,10-548-533-1190,1976.06,FURNITURE,odolites detect regularly. ironically unusu
60325,Customer#000060325,"IgTpZRiD5Z,uHoTNyX9t",14,24-885-999-4600,620.80,MACHINERY,ily ironic requests could wake slyly about the quickly final accounts. carefully bold re
60326,Customer#000060326,yvXwZojVIYEWOEzQhN4U6CCKn5,6,16-878-408-5096,3709.14,FURNITURE,regular pinto beans cajole stealth
60327,Customer#000060327,NUue9O5klVa5XeOCCG3oxtGOJRxj,19,29-677-180-3169,578.97,FURNITURE,ending excuses. accounts detect alongside of the blithe packages. ironic instructio
60328,Customer#000060328,FDUtuODyaZl,11,21-126-892-6506,4766.48,HOUSEHOLD,ages run furiously by the slyly ironic escapades. blithely fin
60329,Customer#000060329,"0lrH9i0 XM9q5jn,ti",20,30-779-580-7311,6306.84,HOUSEHOLD,"nts. regular, silent realms wake blithely about the carefully idle packages. s"
60330,Customer#000060330,R4YaAT92Iv bHgGpLf2HicHS1xbbR,8,18-821-408-3395,1110.17,FURNITURE,regular packages. furiously regular requests are according to the slyly regular instruc
60331,Customer#000060331,"VbiVIX3NY O6AAssNqOgXNK,Jo4CwBl6",9,19-115-827-9457,632.70,HOUSEHOLD,y final deposits cajole about the bold ideas. blithely quiet deposits cajole slyly. blithel
60332,Customer#000060332,SHGZ8EJf659ovcGPTW3tIk,10,20-798-729-3252,5733.63,AUTOMOBILE,tes nag fluffily furiously express packages. carefully ironic asymptotes boost regular foxe
60333,Customer#000060333,"tnLPG,js9Gkn1FX2Wec,h5JyANUAO0QSBBHdkcF",20,30-248-991-8840,3193.88,FURNITURE,lets at the daringly express acco
60334,Customer#000060334,gtKUbTEDtDyY9vZDDYLCnGP9GYRzDw,17,27-257-969-4976,8512.68,HOUSEHOLD,ng to the blithely unusual theodolites; closely regular instructions along the blit
60335,Customer#000060335,"nQEp2EHUTu4,TSL7",5,15-105-276-2085,4678.46,HOUSEHOLD,"nusual dolphins. bold, ironic deposits"
60336,Customer#000060336,c2MuxqrNumnLScK 5X5t2B,24,34-217-636-6240,898.12,HOUSEHOLD, slyly unusual packages was carefully silent pinto beans. requests wa
60337,Customer#000060337,"YhyWnZnnCjK,lG6KmgtwXf1NykmYAYgpJ",6,16-420-178-5789,623.55,MACHINERY,bold instructions nag furiously slyly unusual attainments. accounts a
60338,Customer#000060338,"9Zlt1cIKP0qA,rry0Qmkc7tVRoa8OL92",13,23-283-458-4910,5885.27,FURNITURE,ending packages. fluffily express deposits are carefully express packages. silent braids are fluffil
60339,Customer#000060339,"77jPTfII6J8m,cAV",13,23-819-540-9666,-263.33,MACHINERY,ar requests? accounts cajole furiously. quickly regular theodolites dazzle across the slyly even ideas. quickly 
60340,Customer#000060340,z1urL5GAEYfEj P,8,18-362-650-3091,5059.81,MACHINERY,"ecial excuses. quickly ruthless orbits cajole special, regular fox"
60341,Customer#000060341,yOTSyZEzB2Qqwtr26yHx3UsIQJI8Z,19,29-936-306-9836,8190.70,BUILDING,affix carefully about the fluffily special foxes. asymptotes imp
60342,Customer#000060342,"NA37ZBER,Jin D25VrAG",4,14-860-693-2510,5104.61,FURNITURE,"nic, final accounts sleep carefully. fluffily regular ideas print furio"
60343,Customer#000060343,ip5S1c3JED7h4XzIbD4OCT,10,20-731-513-7575,2159.18,AUTOMOBILE,er the slyly unusual packages. ironically final theodolites cajole furiously along the final requests. deposits abov
60344,Customer#000060344,"J wFmWj7gQVk0LqWZLAPzwryEgp,AgwnZFDmxaw",18,28-345-404-4485,9262.42,AUTOMOBILE,"foxes nag regular, unusual pinto beans. final orbits acro"
60345,Customer#000060345,"us,i9Lm9jqV9PYpkgkb",3,13-745-949-9899,-456.06,HOUSEHOLD,le among the furiously final deposits. bravely final deposits are around the furiously regular hockey 
60346,Customer#000060346,5dW5Rr4AZdQCFTH6D01lb tbX U,1,11-130-856-3024,-142.13,FURNITURE,riously even braids play foxe
60347,Customer#000060347,Rw1qDdhl3agZm6MTUNV,7,17-185-331-8441,7193.01,BUILDING,"e carefully even dolphins! fluffily ironic accounts haggle above the silent, ironi"
60348,Customer#000060348,ImssjJ aqidbIelTClU85,8,18-832-485-7441,1000.45,AUTOMOBILE,l Tiresias wake furiously. bold accounts wake quickly. furiously e
60349,Customer#000060349,",7GyMKjYF89F7",9,19-798-550-1144,4577.89,BUILDING,hins along the slyly careful hockey players sleep about the quick
60350,Customer#000060350,"cUhd3B1,lkB8Vpp,z",1,11-130-321-3149,4594.91,BUILDING,uickly after the carefully bold theodolites. furiously idle ideas af
60351,Customer#000060351, aMjTb ckfytGK0E6kZDL9rh4JxrMW4GMOM27xU,5,15-592-739-4024,4608.82,MACHINERY,y final theodolites will have to nag after the sometimes ironic acco
60352,Customer#000060352,U28 5SeIXhKGlatb,10,20-250-174-7383,7448.88,MACHINERY,ithely ironic patterns about the regular platel
60353,Customer#000060353,"DybnF,9MnIbpPIXZgZp bhpJwz",6,16-625-463-8932,410.40,HOUSEHOLD,int-- blithely pending dependencies alongside 
60354,Customer#000060354,jL5X47hab0l2hQNvVSc,5,15-996-557-5431,9451.12,FURNITURE,latelets wake after the slyly even accounts.
60355,Customer#000060355,Pq4gw csTrzPzP2xiTFTN54 ,18,28-142-859-6646,2996.70,AUTOMOBILE,hin courts sleep quickly after the idle platelets. blithely fluffy instructi
60356,Customer#000060356,FG66YEsN4e HYrb7,9,19-468-411-7252,5440.97,BUILDING,sy theodolites detect carefully. furiously unusual platelets haggle: idly express ac
60357,Customer#000060357,shtafTGcd3q2kZZsP10ukvLtp9J,5,15-810-929-4244,1424.25,MACHINERY,. carefully regular accounts nag quickly. blithely ironic accounts wake thinly asymptote
60358,Customer#000060358,zDH50eX9co Gx6wdRORhYIrEg,11,21-164-541-8818,-668.81,MACHINERY,"r requests after the deposits haggle blithely across the ironic, express deposits; caref"
60359,Customer#000060359,zuzTF1eFHE S33fdCLHHlv,4,14-208-742-1464,-729.96,MACHINERY, against the quickly express pinto beans-- even foxes kindle at the carefully express ideas;
60360,Customer#000060360,QJ5O4zz8B4a,15,25-730-747-4902,5421.67,FURNITURE,s. final excuses according to the carefully special packages n
60361,Customer#000060361,Qt7sdAxDHikr,17,27-956-333-7929,7027.34,AUTOMOBILE,"y above the pending somas. final packages about the silent ideas mold pending, ir"
60362,Customer#000060362,UZ35VBuTo71pDnng20LZc,11,21-646-927-6602,-519.41,AUTOMOBILE, the carefully special theodolites. carefully bold instruc
60363,Customer#000060363,YYfA9yJk4lE,8,18-788-319-1112,2281.60,MACHINERY,"ounts. even, final deposits doze blithely"
60364,Customer#000060364,  DAUOsp1a2zl2QKbyDTfhQDsjJYXBU8,22,32-883-871-2830,9741.89,BUILDING,e regular ideas. special deposits solve carefully bold platelets. slyly unusual ideas are blithely. request
60365,Customer#000060365,Wn7pRXKovYrLksYVUQepPuTI8iTxb,18,28-537-670-5095,6062.28,MACHINERY,"rint inside the ironic, ironic warhorses. carefully regular "
60366,Customer#000060366,0N9dbHMC3GSJD24dKAmgbtdgsoFBY ,23,33-328-615-7266,4776.50,BUILDING,ly. idly special theodolites sleep slyly special packages. qui
60367,Customer#000060367,"94T81ym5W14TrV27AtJ,J",10,20-893-572-3678,9587.25,HOUSEHOLD,es. excuses sleep quickly special theodolites. carefully final instru
60368,Customer#000060368,Z IPCc 6I3Cf7nUaYjK Thux4Ob mN6,22,32-383-921-3921,3063.32,FURNITURE,symptotes. final accounts wake instructions. blithely pending tithes hag
60369,Customer#000060369,"byKvrPGQWHAY3fmTEupd1631uBCtjA6N57qDPy,",21,31-205-151-7431,3212.26,MACHINERY,"c, pending accounts against the grouches cajole furiously ironi"
60370,Customer#000060370,"Lno07l930QXf4VvrgNM9eOP4MC,O5F",20,30-923-179-9708,9365.51,MACHINERY,"tes about the silent, bold ideas sublate carefully carefully regular ideas. unusual instructio"
60371,Customer#000060371,"BJt5U,JR1anLDcIt1Oyh44,",4,14-558-880-7251,5223.42,FURNITURE,p blithely above the final accounts. closely regular foxes haggle slyly about the deposits; pending depend
60372,Customer#000060372,"SbTVMEWMTsF0y03blmz0fRdY2Vvr,poF",22,32-331-223-4549,8066.45,AUTOMOBILE,old packages. dogged multipliers are carefully according to the slyly final a
60373,Customer#000060373,bJM ekAiYrXp1rXf,9,19-965-994-8646,6937.90,BUILDING,ages. slyly final deposits sleep hockey players. unusual foxes maintain slyly. acco
60374,Customer#000060374,ECaW7YcJx2LA7HAiF9Y ,9,19-329-811-6474,3315.83,FURNITURE,"ound the final, pending instructions"
60375,Customer#000060375,VurdJzEeH8SPZVmg3F8rPf,0,10-260-863-9119,1097.44,MACHINERY," blithely final deposits. unusual, even accounts use f"
60376,Customer#000060376,CWeNulS4Kp0qqBpWzuw,10,20-321-447-5647,6689.16,MACHINERY,ckly ironic dolphins use carefully across 
60377,Customer#000060377,9RzGf3friT1dcJJSqG6 jDpPlKWxROJ,23,33-646-623-4551,2793.27,FURNITURE,ons. carefully silent ideas are blithely special request
60378,Customer#000060378,3VeEVzrG9yO3,22,32-833-281-4901,7494.26,BUILDING,ounts haggle. fluffily final theodolit
60379,Customer#000060379,ak8cqy0 rC1G4dShZU5aMOcWkwLHw6,13,23-677-208-1378,4054.44,BUILDING,luffily even theodolites. regular foxes sleep slyly special accounts. ironic courts haggle furiously enticing i
60380,Customer#000060380,DHBWdnidKvyg,4,14-523-323-6841,7014.12,FURNITURE,ously express packages are carefully above t
60381,Customer#000060381,TKtz4bx5pY478T6XNNpYgAuF0x74,6,16-513-152-6308,8373.56,BUILDING,bout the special asymptotes; f
60382,Customer#000060382,"f nyLr,GqhUGqm",6,16-249-793-6633,9562.86,HOUSEHOLD,ajole quickly. packages cajole blithely furiously 
60383,Customer#000060383,aN6XpIeqpSNUaSMbp9gfpLI,13,23-314-496-4108,20.84,MACHINERY,"regular theodolites are quickly special, unusual accounts. blithely unusual pains cajole. ironic accou"
60384,Customer#000060384,"a,Qwb7Ho1u sBVYnFk",23,33-831-503-5544,7117.68,HOUSEHOLD,"silent instructions haggle silently among the pending, unusual deposits. final accounts affix. furiously special "
60385,Customer#000060385,vNhArTstyqiE8 fjfdqquUF,23,33-330-410-5023,-74.00,HOUSEHOLD, requests. carefully pending gifts after the doggedly regular requests affix furiously along the even depen
60386,Customer#000060386,"onx,DsL0j185HGCH2O",10,20-846-395-8855,8209.43,MACHINERY,w packages wake furiously. final requests inside the carefully express requests affix after the c
60387,Customer#000060387,k0mVsdXFDtrOB z9Y8ayZ5IQkX0Skzs,20,30-179-438-6271,939.58,MACHINERY,dependencies. furiously unusual de
60388,Customer#000060388,xfvSXHszIfL3,14,24-169-103-8533,4533.27,BUILDING,"es cajole! even instructions poach regular, regular excuses. "
60389,Customer#000060389,PWPj0Je3NmuYcJ,12,22-237-940-6382,2648.02,AUTOMOBILE,ely across the carefully regular accounts. slyly final deposits boost i
60390,Customer#000060390,ipN7StLa3u2aUYhvMQH,20,30-719-462-6973,8297.17,BUILDING,sly final accounts will sleep above the carefully 
60391,Customer#000060391,"KQ8xv07moSl,7mq",2,12-209-578-6640,1655.71,FURNITURE,"ites. requests cajole slyly across the even, special requests; blithely even instruction"
60392,Customer#000060392,VRbY9uaZPysgJL4yKs3nJQ4MaQlQItF,11,21-620-139-6319,6540.58,HOUSEHOLD,nal requests. sly requests across the c
60393,Customer#000060393,"j,DJTn44ewQNjedQg5LDjr3RFcKPYoX g j7Fg",18,28-419-588-7645,2511.53,MACHINERY,s mold slyly according to the carefully ironic dependencies. blithely silent theodolites are fluffily special foxe
60394,Customer#000060394,S6A6ggOFVKMdTYnrEzQVTBi 603ri,0,10-287-574-3516,2178.85,MACHINERY," sleep slyly pending foxes. quick deposits can affix after the ironic, p"
60395,Customer#000060395,kHV3Rww8FZtIcwFhGME,9,19-225-825-5121,9947.43,MACHINERY,"packages sleep slyly along the regular, even foxes. quickly regular dependencies cajole s"
60396,Customer#000060396,vZ7hLDuE5xFnBfiJTcAZ8Q2rr,20,30-652-767-4128,6561.95,AUTOMOBILE,"ng, ironic deposits. regular, regular pinto beans sleep. even reques"
60397,Customer#000060397,nBbBTQi6LN81V4Qb2Wvr,11,21-386-374-7144,9698.02,BUILDING,"ending, regular accounts believe silently amon"
60398,Customer#000060398,GtdmU UFESx8L0wcd9wAFgzhs,18,28-424-183-9966,5779.93,BUILDING,old foxes use blithely among the
60399,Customer#000060399,"MbhRUg Dqqml4j89i,m7,1M4BVeYCIm",3,13-572-739-8573,335.18,MACHINERY, packages across the carefully pending packages use thinly slyly regula
60400,Customer#000060400,yNQSF5gBeJiE5vW,16,26-235-135-1444,-740.80,FURNITURE,thely final packages are furiously. bold theodolites cajol
60401,Customer#000060401,"ZclqqGw,QTeFq",7,17-473-523-3872,-666.81,BUILDING,"nstructions wake slyly above the closely regular deposits. bold, regular"
60402,Customer#000060402,"WkDaZUac pUKZSJjWf,JHnsKzzBd30QF1E",19,29-876-662-3792,-176.97,FURNITURE,"nto beans. regular, pending packages mold"
60403,Customer#000060403,v5OSKwGy8B,23,33-297-888-1967,4675.48,MACHINERY,ully special accounts are around 
60404,Customer#000060404,"Gohei,yySxAggh0OxK4O YjtylX",10,20-872-609-9723,5763.31,FURNITURE,y slyly ironic sentiments. requests above the platelets sleep blithely carefull
60405,Customer#000060405,"YOngN,WbtERGNEK5dlY7MApbWZscIJkVaxud",10,20-618-692-2099,6942.62,BUILDING,e blithely ironic frets. requests detect furiously unusual pinto beans. enticingly unusual excuses above the fi
60406,Customer#000060406,"NMLU5,6tT3Lbh ",16,26-830-775-8131,5597.11,MACHINERY,even instructions engage. slyly regula
60407,Customer#000060407,",eC109,dBCry,yAcFCr8k3RbdXguvx,YL4g",4,14-354-124-9968,7653.62,AUTOMOBILE,ironic ideas through the blithely express accounts 
60408,Customer#000060408,yp2NdI8YjffVPr1NTBzNUR8,23,33-478-208-6896,9470.71,BUILDING,sts cajole carefully pending warthogs. 
60409,Customer#000060409,uGMljFScEWGIGN0eNyQY,13,23-991-600-8093,2261.31,BUILDING,nic deposits. even accounts after the slyly ironic foxes nag slyly across the silent patterns. final asympt
60410,Customer#000060410,"7sC74rS46HkCOCKBjozZUp,3Y",14,24-906-883-6172,9797.35,AUTOMOBILE,furiously about the pending foxes. slyly final requests nag blithely slyly regular ideas. deposits haggl
60411,Customer#000060411,"8eNNo93oy0jJup3Y,bjo",14,24-995-709-9946,3210.09,AUTOMOBILE,"ss, even excuses affix blithely above the quickly regular dol"
60412,Customer#000060412,1LaGHZJ6kXWgm,16,26-387-722-4518,5964.31,AUTOMOBILE,endencies across the furiously special theodolites cajole slyly quickly express requests. fo
60413,Customer#000060413,0ZSANcjTcTk RkZMXU5mAe1QD1CqlWKFUZP365,3,13-894-985-4763,8211.60,HOUSEHOLD,"ular accounts. bold, even dolphins nag finally carefully pending foxes. ironic, regular dolphins cajole clos"
60414,Customer#000060414,MspZva6gdWhy0Zk56A,21,31-651-616-3083,4419.21,BUILDING,fully pending foxes use about the slyly final theodolites. carefully regula
60415,Customer#000060415,FEBQk3X3U8N6cU0IK4qFQy8kAgiKfauUv,18,28-176-223-5313,-314.73,BUILDING,dolites cajole; pending foxes outside the special accounts use somas. bold platelets cajole furiou
60416,Customer#000060416,sUQXim8WICjk93dL,9,19-381-725-6924,-783.79,AUTOMOBILE,fily stealthy foxes are slyly regular deposits. slyly final frays cajole along the packages. furiously final ac
60417,Customer#000060417,WHehjcuQGhj29CehB,19,29-207-395-8412,2682.79,FURNITURE,s print furiously carefully regular packages. deposits cajole against the slyl
60418,Customer#000060418,"fvWQJYT6pkqZiwdgR0nsEqAvv0,Oqv",3,13-955-655-7684,9615.82,HOUSEHOLD,ic excuses. furiously careful instructions according
60419,Customer#000060419,ubn2lRn1lvA,7,17-428-742-4374,-854.76,AUTOMOBILE,s platelets. pending packages need to a
60420,Customer#000060420,"UefDhjTbTtA,GSdIB32rACC0U",11,21-344-304-3061,9018.96,HOUSEHOLD,"g pinto beans after the even, final a"
60421,Customer#000060421,"Ub3wtZuB bWXaRT,n2RpPfAEY opPNVV0RtZbFG",15,25-369-929-5758,-269.78,HOUSEHOLD,ecial deposits. final accounts integrate blithely among the 
60422,Customer#000060422,ekaQNxd3DB4xhz,9,19-770-288-4824,6652.01,AUTOMOBILE,ully fluffy instructions boost slyly. furiously final depe
60423,Customer#000060423," U9jKHVFcfphmq8caKe,Kjs2Sh9",18,28-962-303-1423,5443.69,BUILDING,l packages. blithely pending requests boost carefully after the regular requests. regular pains cajole s
60424,Customer#000060424,"y,oInMzgZg5QsJdVcQ",3,13-115-627-1559,3134.46,BUILDING, final packages. carefully regular braids acco
60425,Customer#000060425,",WfC2tvfahAobFoRbyjHdBhR",17,27-311-939-9927,-218.72,FURNITURE,lar ideas haggle thinly speci
60426,Customer#000060426,"NxmgerG,bDjbx,AfQsxbb7sqYqk",10,20-256-364-4755,6867.31,HOUSEHOLD,quickly ironic accounts against the ironic excuses haggle regular accounts: blithely special requests nag carefull
60427,Customer#000060427,"hfGIb6ePQ7tmv 5wuY MC4icx uStwg,Uj3g6f",23,33-698-787-1837,4945.87,FURNITURE,nusual ideas throughout the even deposits sleep quickly after the carefu
60428,Customer#000060428,f IHtul3N80,11,21-501-814-1140,7322.60,BUILDING,platelets are carefully! blithely regular excuses integrate. quickly final requests use slyly.
60429,Customer#000060429,",rK7HCktV dmeFOkjBtlDemQfh4n",8,18-566-909-4393,928.79,BUILDING,kly ironic deposits according to the carefully ironic deposits haggle ruthlessly above the ironic 
60430,Customer#000060430,"zXS,bmtUXNmu6l",3,13-594-468-4402,-849.71,AUTOMOBILE,quiet pinto beans. ironic packages affix fluffily above the carefully bold somas. sly
60431,Customer#000060431,"bzvDIJPaQ j pI6349lX0A3,jI8D4kk748bq",12,22-325-222-1406,5917.62,BUILDING,ully across the pinto beans: ironic ideas unwind. e
60432,Customer#000060432,uxGOguHwFOGtWKw67HDacbUn3DX CScrHnVutlj ,12,22-808-530-6065,4533.83,AUTOMOBILE,nal requests sleep fluffily. bold accounts haggle quickly. quickly regular pac
60433,Customer#000060433,",QG7fPbFaGEm1cXbxwSTM",20,30-477-852-3354,1153.57,HOUSEHOLD,s serve furiously quietly ironic deposits. busy accounts affix carefully blithely pending dependencies. furiously ir
60434,Customer#000060434,XHhImSGJ3cFa,20,30-977-907-3563,4043.92,BUILDING,ideas sleep quickly alongside of 
60435,Customer#000060435,jZljn6spKoPnt17Ozm8gT3,13,23-571-798-2154,6122.20,BUILDING,lways final requests wake carefully after the carefully regular deposits. carefully express 
60436,Customer#000060436,dFVGcmftUwCqCIgtjU9WsnxCzyXeGvq2Ux,0,10-288-602-9312,-107.09,MACHINERY, accounts. furiously regular pinto beans use care
60437,Customer#000060437,DtSN5FT03MWZttel,13,23-820-978-5633,2090.79,HOUSEHOLD,ithe requests use slyly ideas. slyly ironic instructions p
60438,Customer#000060438,"nZdTjwKMtg,qKMWsals3",8,18-527-752-5266,3934.44,AUTOMOBILE,nts along the carefully unusual requests grow blithely quickly regular requests. regular exc
60439,Customer#000060439,t1TglIb2D2dlblvV5HiNWy0U9,24,34-979-431-2515,3174.24,HOUSEHOLD,ts. pinto beans wake furiously ironic request
60440,Customer#000060440,iMj03RLL76SVBmwB0F6hYq02G,1,11-231-742-4654,8419.28,AUTOMOBILE,ly even deposits. carefully express pinto b
60441,Customer#000060441,gCcOC7EmQQ7l3de7Wq,17,27-109-968-8024,7864.92,MACHINERY,yly even requests. carefully regular instructions sleep ab
60442,Customer#000060442,wWpEz2jloercS0orPtuaFLKD6CHemRGuyI7rSwU,14,24-383-965-9315,7775.47,HOUSEHOLD,sual excuses detect blithely. furiously pending accounts cajole carefully permanently ironic asympt
60443,Customer#000060443,MmTpcILuuwLT6w RcwLG5,4,14-232-682-4625,317.40,BUILDING,althily ironic accounts among the furiously unusual packages cajole furiously bold pin
60444,Customer#000060444,",K68f8Ax p39rJ62Vwp9VKzgbRTQr",2,12-537-386-8392,8491.55,FURNITURE,"press, ironic foxes. slyly even forges run slyly bold ideas. "
60445,Customer#000060445,"ebwaQ0Lv7pf0Qy,VuedjtQk",13,23-502-439-1845,1618.17,FURNITURE,c instructions. bold accounts after the slyly express accounts affix furiously regular instructions. slyly si
60446,Customer#000060446,HCEdbxCOHIAAdCh5Q3xgEiBPpn,11,21-362-845-1800,2518.16,AUTOMOBILE,pending foxes. slyly bold deposits are fluffily furiously regul
60447,Customer#000060447,p9gIP5IhGn1BhRAZq,10,20-645-634-2491,3718.17,AUTOMOBILE,eposits after the quickly special ideas integrate across the
60448,Customer#000060448,"mQhCvZxeX3 ATbYbbgUW,Ez6TUb Y1uBH",18,28-636-177-1844,9251.92,FURNITURE,ickly final braids sleep carefully final ideas. deposits use among the slyly express braids. regular foxes accordin
60449,Customer#000060449,9ZS85rMrytLye,20,30-295-332-3664,-888.35,AUTOMOBILE,ut the fluffily express hockey player
60450,Customer#000060450,"imviux8hB9dvftwVa8ev62C3Skzm,kY0i",15,25-999-542-2093,5459.97,BUILDING," tithes cajole furiously. final, ironic request"
60451,Customer#000060451,82NE NabioHWTNcMR0589bHzsusuAwR95u,22,32-354-378-7735,1665.91,HOUSEHOLD,"le-- special, regular notornis grow ironic,"
60452,Customer#000060452,z2Ie5tUOlokt,20,30-198-197-5206,1977.66,HOUSEHOLD,y silent requests. regular requests boost slyly unusual pinto beans. bold pa
60453,Customer#000060453,FLs1 UDFCTB1oJTfjaCqs,18,28-539-485-2596,5521.53,MACHINERY,en dolphins nag quickly across the furiously ironic packages. quickly final deposits use furiously fin
60454,Customer#000060454,RHPoC7zESCMh2,23,33-934-232-8830,2342.25,BUILDING,es are. furiously express accounts 
60455,Customer#000060455,"Ol,RlDIOOr9phh2z8tJ5u G F",23,33-917-289-3760,6147.58,BUILDING,ly unusual requests besides the slyly regular hockey players wake carefully a
60456,Customer#000060456,"7cxasLTMhegvH3vTr,n3tfIjhAAMderM1p3PElwx",6,16-477-142-1004,8330.73,MACHINERY,e. furiously final requests along the quickly even ideas integrate carefully along the pe
60457,Customer#000060457,3dCOE0ugXLPKO8w1XddESWa7eSZE,13,23-269-474-7237,4593.14,AUTOMOBILE,"s doze regularly about the carefully ironic packages. unusual, special packages sub"
60458,Customer#000060458,mHmf8IfjgTzy0J0dgHfNqBgJRxvj9JcGR,12,22-931-998-8527,7873.74,MACHINERY,. carefully express orbits haggle furiously of th
60459,Customer#000060459,mPXgCn7jjkofL0oiiiXIWfZANtO6,18,28-780-647-4733,2011.19,BUILDING,. pinto beans integrate slyly.
60460,Customer#000060460,1Va0dHL5LCMY,2,12-943-556-9785,8107.53,BUILDING, special foxes are slyly against the carefully
60461,Customer#000060461,nj5zObws52HE20 5AeT6 bCXnu5alJKxvbRdB,18,28-967-940-4485,4365.65,AUTOMOBILE,yond the furiously ironic requests. carefully ironic accounts haggle blithely fina
60462,Customer#000060462,PpWsf63ROQ,9,19-338-771-7589,1457.07,BUILDING,ructions sleep slyly fluffily bold deposits. silently express pinto beans use ca
60463,Customer#000060463,NVoVg XLAlXVJ,15,25-137-389-8865,951.20,BUILDING,te slyly carefully special requests. carefully final asymptotes cajole furio
60464,Customer#000060464,mjJP1RRnGX6o36ykiGwzs4j7qm7MwNs3,22,32-692-361-8994,1696.86,AUTOMOBILE,y; blithely thin accounts affix carefully final patterns. final foxes kindl
60465,Customer#000060465,"GXG6zW49,La3GDlcw81H13VvtQPH4B7",15,25-728-640-5657,5063.48,BUILDING,c ideas wake slyly pending instructions. even instructions affix furiously along the doggedly pending a
60466,Customer#000060466,"e,fiIRbw jtO20n LkwcjkrGXu,HiLLW",0,10-183-615-4306,3867.00,HOUSEHOLD,"al, ironic accounts sleep carefully carefully regular deposits. unusual, unusual accounts"
60467,Customer#000060467,kGVqd8B0CnJDod57cE0Zc,16,26-943-636-9227,2640.94,FURNITURE," deposits haggle blithely final, bold dolphins. blithely unusual deposits boo"
60468,Customer#000060468,qxkXoJyfM8JH DW5rrYr,12,22-746-119-6466,-673.26,MACHINERY,ide of the fluffily busy requests. regular instructions haggle. ironic notornis run carefully in place of th
60469,Customer#000060469,eS5lyG0CRgbTtZP6V9o09WPh7P0jxqOaU7u,18,28-765-965-8370,1484.46,FURNITURE,"eans nag slyly. furiously bold asymptotes are carefully against the final orbits. ironic, bold ins"
60470,Customer#000060470,BXVGz5AY4zq5h7H36ynDmdxVW24SB4oK16UaR,13,23-569-665-9067,-751.33,HOUSEHOLD,old requests sleep. even theodolites after the f
60471,Customer#000060471,NZgZ9DdltZe0I,5,15-182-799-1170,9366.62,BUILDING,"ecial, ironic pinto beans detect fluffily against the carefull"
60472,Customer#000060472,3HSkzI9dHYp0IMz2DZx,22,32-827-290-3219,1866.49,BUILDING,uriously against the carefully final excuses; regular pearls wake. bold ideas doze fluffily even accounts. 
60473,Customer#000060473,OeXkpswelaZFBkctiqSRXFz,9,19-714-533-1010,6995.45,AUTOMOBILE,"oost busily bold, regular excuses. carefully silent gifts boost carefully. accounts nag"
60474,Customer#000060474,NI41xCyfYw,11,21-922-178-8467,2530.61,FURNITURE,lyly regular instructions try to nag furiously regular deposits. slyly thin de
60475,Customer#000060475,sFxFmY6cJUjLQ,13,23-963-806-3698,3998.03,AUTOMOBILE,"ffix around the slowly regular requests. special, unusual packages are finally ironic accounts. fluff"
60476,Customer#000060476,",isWbhLU3CU9KOMD",17,27-695-626-1045,4876.64,AUTOMOBILE,mong the carefully regular excuses. carefully regula
60477,Customer#000060477,QBsOyqHntPT4cUcZxgiZht8OHZOXMC6INoJyuv,14,24-970-923-9060,9644.61,FURNITURE, beside the requests. furiously even packages cajole slyly blithely final accounts. iro
60478,Customer#000060478,a3tSkCuBIJ0IIj,9,19-302-759-6219,9973.79,MACHINERY,nding accounts haggle. quickly even excuses are fluffily slyly even instructions. carefully unusual excuses nod ab
60479,Customer#000060479,"j1YPtuuu4Yiijvy8Qy1a9pGxrF,laEL,ZlrL7kiF",3,13-802-230-8304,9595.61,HOUSEHOLD,de of the regular pains use slyly unusual theo
60480,Customer#000060480,LoigWxrxcNOq0vRhLVB8rblf dzC2,22,32-103-221-9594,474.75,AUTOMOBILE,against the fluffily regular dependencies. furious foxes among the furiou
60481,Customer#000060481,C0Epk1ArwpEqkFj2Fun,3,13-325-988-7103,2071.77,AUTOMOBILE,lithely quick accounts. regular packages nag. furiously silent fox
60482,Customer#000060482,aX5fha6SwiNeL OGfSQTymPZ8z65BD1uS5,5,15-202-994-9977,3152.82,HOUSEHOLD,y unusual instructions among the slyly final packages cajole 
60483,Customer#000060483,hOmZaA8KlYO,0,10-852-369-2197,472.69,HOUSEHOLD,uests. ironic deposits wake of the express packages. fluffily final the
60484,Customer#000060484,"03WC6j,e3uDddlz 8P0mOfOVK6UTCVl8nd1,",22,32-958-827-1281,445.40,FURNITURE,ously silent requests against the slyly pe
60485,Customer#000060485,WGcxH0Gxa2RavgqbqlEvlXaQvPHCc4Id,16,26-170-108-5226,3754.45,FURNITURE,arefully. blithely bold accounts use. unusual requests nag blithely ironic accounts. instructions am
60486,Customer#000060486,VCB2UMuSHqm9KtXSAX7A5kST92ZS5,24,34-540-591-8986,2977.99,AUTOMOBILE,luffily idle deposits haggle quickly during the final packages. deposits cajole according to t
60487,Customer#000060487,"P4diWJBDCEP8doCct4y54,80RDrBSuqxvdroC",5,15-687-352-7383,-964.92,BUILDING,ong the slyly final accounts boost above the blithely regular accounts. ironic 
60488,Customer#000060488,9Lq90v8mgEfmd 3a18Ipy,18,28-489-167-2074,5477.85,FURNITURE,ecial theodolites are express foxes! thinly fi
